281,642,484
952,245,386
307,497,758
189,732,886
163,29,71
663,759,61
685,9,114
70,541,61
601,425,272
511,459,881
233,717,46
629,929,909
350,922,507
437,283,384
738,776,686
282,166,27
926,823,25
161,681,595
135,799,211
611,858,307
532,176,424
50,887,917
554,969,949
247,811,744
377,9,259
98,862,747
284,629,408
389,334,375
18,747,640
759,695,284
92,989,421
478,930,781
49,940,951
522,825,577
749,654,929
220,526,889
56,820,431
724,612,751
564,735,782
339,857,502
106,613,314
694,154,166
683,692,363
623,720,572
760,512,443
971,394,946
443,902,14
180,187,555
895,651,48
397,251,805
